"","p1","p2","p3","p4","p5","p6"
"1",1,1,0.1,0.727272727272727,1,1
"2",1,0.0833333333333333,0.125,1,1,0.0833333333333333
"3",0.0833333333333333,0.833333333333333,0,0,0.0833333333333333,0.833333333333333
"4",0.833333333333333,0.666666666666667,0,0.416666666666667,0.833333333333333,0.666666666666667
"5",0.666666666666667,0.0833333333333333,1,1,0.666666666666667,0.0833333333333333
"6",0.0833333333333333,0.75,0.5,0.111111111111111,0.0833333333333333,0.75
"7",0.75,1,0.1,1,0.75,1
